cik,AccountsPayableCurrent_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AdditionalPaidInCapital_USD,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockSharesOutstanding_shares,CommonStockValue_USD,DeferredTaxAssetsValuationAllowance_USD,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EntityCommonStockSharesOutstanding_shares,EntityPublicFloat_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,IncomeTaxExpenseBenefit_USD,InterestPaidNet_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,OperatingIncomeLoss_USD,OperatingLeaseRightOfUseAsset_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockSharesOutstanding_shares,ProceedsFromIssuanceOfCommonStock_USD,ProfitLoss_USD,PropertyPlantAndEquipmentNet_USD,RetainedEarningsAccumulatedDeficit_USD,ShareBasedCompensation_USD,StockIssuedDuringPeriodValueNewIssues_USD,StockholdersEquity_USD,UnrecognizedTaxBenefits_USD,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares
7623,1955404.0,,3496243.0,10301350.0,18803013.0,2684.0,,,,9500000.0,4470004.0,,44700.0,,,4523407.0,,,,,18803013.0,6164776.0,8896268.0,,,,,,27879.0,,500000.0,0.0,0.0,,,5218662.0,6443856.0,,,9906745.0,,,
7789,,12618000.0,,,33419783000.0,,,,716048000.0,250000000.0,175216409.0,153540224.0,1752000.0,251000.0,,152831898.0,,,,,33419783000.0,,29328850000.0,,,,,,31994000.0,,750000.0,364458.0,,,,418914000.0,2458920000.0,,,4090933000.0,3000000.0,,
8063,26446000.0,-16450000.0,,316947000.0,619745000.0,,,,40412000.0,,,,347000.0,37168000.0,,,,,,,619745000.0,93736000.0,349374000.0,,,,,,18953000.0,,,,,,,106678000.0,312803000.0,,,270371000.0,1890000.0,,
8146,5734000.0,-384000.0,,60721000.0,115473000.0,11439000.0,,,11439000.0,13000000.0,10425094.0,,521000.0,1721000.0,,7170486.0,,,,,115473000.0,20968000.0,40790000.0,,,,,,1389000.0,,100000.0,0.0,,,,12011000.0,50085000.0,,,74683000.0,384000.0,,
8177,,25000000.0,57437000.0,,405187000.0,19319000.0,,,19319000.0,50000000.0,22400894.0,20415243.0,22401000.0,,,,,,,,405187000.0,,260127000.0,,,,,,4832000.0,,4000000.0,55000.0,55000.0,,,,47790000.0,,,145060000.0,,,
8328,,,74008636.0,927815.0,1900307.0,669560.0,,,669560.0,700000000.0,183938549.0,183938549.0,183939.0,27584517.0,,175638549.0,,,,,1900307.0,3464669.0,49729744.0,,,,,,136308.0,,10000000.0,128000.0,128000.0,,,500000.0,,,,-47829437.0,,,
8504,159812.0,,47241757.0,24797991.0,28726470.0,23940333.0,,,23940333.0,250000000.0,58636365.0,58636365.0,58636.0,3277467.0,,,,,,,28726470.0,2182367.0,2371741.0,,,,,,257363.0,,25000000.0,0.0,0.0,,,122589.0,-20945664.0,,,26354729.0,,,
8670,113900000.0,40300000.0,,41662300000.0,49325900000.0,1602200000.0,,,16128500000.0,1000000000.0,638700000.0,428100000.0,63900000.0,,,427940220.0,75329818310.0,,,,49325900000.0,39176500000.0,43425900000.0,,,,,,501100000.0,,300000.0,0.0,,,,692700000.0,18893600000.0,,,5900000000.0,,,
8818,1050900000.0,-349600000.0,,2416200000.0,6083900000.0,252300000.0,,,252300000.0,400000000.0,124126624.0,83151174.0,124100000.0,68200000.0,,83044019.0,,,,,6083900000.0,1926000000.0,,,,,,,161300000.0,,5000000.0,,0.0,,,1343700000.0,3349300000.0,,,1484900000.0,72000000.0,,
8858,1935661000.0,-164401000.0,,6454446000.0,8264313000.0,376333000.0,,,376333000.0,300000000.0,98861933.0,,98862000.0,,,99455396.0,3444758630.0,,,,8264313000.0,2826324000.0,4353580000.0,,,,,,284886000.0,,,,,,,403270000.0,2366127000.0,,,3910733000.0,,,
