cik,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockValue_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,RetainedEarningsAccumulatedDeficit_USD,StockholdersEquity_USD
1498710,2355980000.0,8398825000.0,1789723000.0,240000000.0,99427203.0,10000.0,8398825000.0,1342022000.0,,1524878000.0,2249695000.0
929545,,275193000.0,3686000.0,200000000.0,,120000.0,275193000.0,,198912000.0,,76239000.0
1084765,218558000.0,511966000.0,97195000.0,70000000.0,64199000.0,642000.0,511966000.0,91636000.0,205019000.0,352716000.0,306947000.0
1754226,,1664936000.0,,15000000.0,4533304.0,2266000.0,1664936000.0,,1529513000.0,47683000.0,135423000.0
1650739,109492.0,110038.0,4364.0,500000000.0,101120000.0,101120.0,110038.0,207959.0,,-701730.0,-97921.0
812306,2087599.0,3004576.0,,80000000.0,8087388.0,4444766.0,3004576.0,476272.0,547451.0,-2130386.0,2457125.0
1822966,2143436.0,234445409.0,1906348.0,,,,234445409.0,49934.0,41759934.0,-39615100.0,-39614525.0
1544190,,59269000.0,4749000.0,,,,59269000.0,,54010000.0,,
899460,79476000.0,108608000.0,67005000.0,400000000.0,242117089.0,2421000.0,108608000.0,73705000.0,289027000.0,-3049143000.0,-180419000.0
1558465,5309291.0,10081384.0,276035.0,100000000.0,35151058.0,35151.0,10081384.0,3044835.0,3765690.0,-4275702.0,6315694.0
1317945,57357000.0,71571000.0,23633000.0,20000000.0,10153633.0,102000.0,71571000.0,21871000.0,25194000.0,35769000.0,46117000.0
1801170,189782000.0,267252000.0,92348000.0,,,,267252000.0,164228000.0,432698000.0,-1028982000.0,-617096000.0
1646972,7444200000.0,26319300000.0,1836100000.0,,585530715.0,,26319300000.0,6597300000.0,,1481400000.0,1374700000.0
55529,60123000.0,89609000.0,5563000.0,5000000.0,2766000.0,6915000.0,89609000.0,31613000.0,51347000.0,37124000.0,38055000.0
1299130,355587000.0,413980000.0,81611000.0,1000000000.0,192294000.0,192000.0,413980000.0,38502000.0,78489000.0,-1036869000.0,335491000.0
816956,416654000.0,1751673000.0,,100000000.0,31299194.0,313000.0,1751673000.0,190201000.0,1042635000.0,457417000.0,709038000.0
1590496,11825923.0,56717070.0,,90000000.0,9487889.0,9488.0,56717070.0,7464456.0,17685027.0,-32383833.0,39032043.0
1835800,0.0,51025.0,0.0,,,,51025.0,26876.0,26876.0,-851.0,24149.0
1810031,258176000.0,268612000.0,229974000.0,160000000.0,35854945.0,,268612000.0,18812000.0,18812000.0,-215990000.0,249800000.0
1000045,,214693000.0,,50000000.0,12653000.0,,214693000.0,,101233000.0,150632000.0,113460000.0
1401564,,1387669000.0,,90000000.0,9736875.0,97000.0,1387669000.0,,1231367000.0,78003000.0,156302000.0
96793,19530000.0,28522000.0,11241000.0,,6899000.0,3450000.0,28522000.0,9061000.0,,2652000.0,
1831992,797479.0,797479.0,,,,,797479.0,773779.0,773779.0,-1300.0,23700.0
1826553,,249671.0,,,,373.0,249671.0,229671.0,229671.0,-5000.0,20000.0
67625,,2122201000.0,29280000.0,300000000.0,98266000.0,,2122201000.0,,996249000.0,0.0,1125952000.0
1762239,8845006.0,8915139.0,1963854.0,1000000000.0,279671677.0,23107.0,8915139.0,4438327.0,4497531.0,3772597.0,4417608.0
1712356,,,,,597611787.0,,,,,,
1712923,,1523073000.0,147775000.0,,,,1523073000.0,,1698549000.0,33751000.0,
1701114,86074000.0,215335000.0,44122000.0,,,,215335000.0,75092000.0,151360000.0,-578133000.0,63975000.0
1690585,151527000.0,161619000.0,58152000.0,150000000.0,48541601.0,49000.0,161619000.0,11430000.0,17713000.0,-254431000.0,143906000.0
816761,1044000000.0,2193000000.0,529000000.0,500000000.0,108800000.0,1000000.0,2193000000.0,952000000.0,1793000000.0,-1114000000.0,400000000.0
1818674,58094.0,58094.0,58094.0,100000000.0,10418000.0,1042.0,58094.0,17221.0,17221.0,-60218.0,40873.0
1474835,1478987.0,3387055.0,202046.0,,23678105.0,46144402.0,3387055.0,9700644.0,9700644.0,-97096550.0,-6313589.0
1158324,456337000.0,1000477000.0,371301000.0,75000000.0,47214077.0,47000.0,1000477000.0,94443000.0,1293643000.0,-807774000.0,-293166000.0
1492691,923363000.0,8468002000.0,156699000.0,500000000.0,166553000.0,,8468002000.0,839708000.0,2595962000.0,1566759000.0,5869848000.0
1567925,,3205289000.0,53174000.0,510000000.0,234957801.0,2220000.0,3205289000.0,,1551416000.0,,1653873000.0
1175680,130794000.0,143762000.0,29407000.0,800000000.0,590279000.0,590000.0,143762000.0,115730000.0,150296000.0,-445191000.0,-6534000.0
1868778,965121000.0,5073406000.0,344004000.0,,,,5073406000.0,860584000.0,3906819000.0,-1024406000.0,1166587000.0
318833,283732000.0,730975000.0,24586000.0,60000000.0,30874437.0,9257000.0,730975000.0,133004000.0,516372000.0,-189565000.0,214603000.0
1841156,79828000.0,124874000.0,46666000.0,150000000.0,104785651.0,517000.0,124874000.0,31111000.0,40498000.0,55047000.0,84376000.0
41719,452925000.0,1286881000.0,99581000.0,120000000000.0,54361980.0,544000.0,1286881000.0,233343000.0,708949000.0,723365000.0,577932000.0
1045609,,56065005000.0,598086000.0,,739381000.0,7394000.0,56065005000.0,,19740425000.0,-2394690000.0,31971547000.0
1015328,,45080768000.0,,100000000.0,58473252.0,58473000.0,45080768000.0,,40964773000.0,2080013000.0,4115995000.0
1740547,86054000.0,108887000.0,71295000.0,267001308.0,32533959.0,1000.0,108887000.0,40436000.0,254504000.0,-434723000.0,-145617000.0
1825452,,,,,,,,,,,1187748.0
1682149,11116000.0,11299000.0,7415000.0,200000000.0,8402250.0,1000.0,11299000.0,2284000.0,3386000.0,-200383000.0,7316000.0
1314052,,54334246.0,47357599.0,100000000.0,66962957.0,66964.0,54334246.0,8033469.0,,-167532295.0,46300777.0
315131,9970523.0,97898849.0,1163818.0,24000500.0,22800681.0,379859.0,97898849.0,3130232.0,,55192444.0,62335886.0
911216,85490732.0,86777695.0,72156110.0,300000000.0,230034307.0,2300343.0,86777695.0,7249643.0,18942569.0,-332131453.0,67835126.0
783324,9407000.0,17230000.0,7762000.0,,,460501000.0,17230000.0,1126000.0,1379000.0,-444650000.0,15851000.0
1412707,,2442982000.0,264071000.0,20000000.0,7633780.0,87615000.0,2442982000.0,,2227655000.0,96158000.0,215327000.0
1737287,845130000.0,1227829000.0,183351000.0,200000000.0,140474305.0,140000.0,1227829000.0,94320000.0,148212000.0,-646343000.0,1079617000.0
1502292,,261597000.0,8193000.0,100000000.0,9681728.0,92486000.0,261597000.0,,217184000.0,-48985000.0,44413000.0
2178,187513000.0,296187000.0,39293000.0,7500000.0,,423000.0,296187000.0,114548000.0,147095000.0,135329000.0,149092000.0
76282,706400000.0,1300500000.0,55000000.0,40000000.0,16148791.0,16100000.0,1300500000.0,307100000.0,,290500000.0,344200000.0
1505497,3187017.0,4347048.0,,75000000.0,715544.0,72.0,4347048.0,1044788.0,5678540.0,-89842833.0,-1331492.0
1838957,,,,192499052.0,18782620.0,,,,,,
